,,s,s,s
    700,2023-06-12T22:31:42.249+09:00, 0.976E-02,   8.17119, 0.10330E+03
    800,2023-06-12T22:31:57.293+09:00, 0.113E-01,   9.24406, 0.11810E+03
    900,2023-06-12T22:32:12.115+09:00, 0.125E-01,  10.45395, 0.13288E+03
   1000,2023-06-12T22:32:27.467+09:00, 0.126E-01,  11.64424, 0.14817E+03
   1100,2023-06-12T22:32:41.445+09:00, 0.124E-01,  12.84407, 0.16213E+03
   1200,2023-06-12T22:32:55.519+09:00, 0.139E-01,  14.08989, 0.17619E+03
   1300,2023-06-12T22:33:09.535+09:00, 0.129E-01,  15.38300, 0.19019E+03
   1400,2023-06-12T22:33:23.488+09:00, 0.151E-01,  16.78153, 0.20413E+03
   1500,2023-06-12T22:33:38.125+09:00, 0.140E-01,  18.11893, 0.21872E+03
   1600,2023-06-12T22:33:52.170+09:00, 0.132E-01,  19.41831, 0.23276E+03
   1700,2023-06-12T22:34:07.333+09:00, 0.144E-01,  20.74415, 0.24787E+03
   1800,2023-06-12T22:34:24.355+09:00, 0.139E-01,  22.21486, 0.26475E+03
   1900,2023-06-12T22:34:39.962+09:00, 0.134E-01,  23.58339, 0.28032E+03
   2000,2023-06-12T22:34:55.827+09:00, 0.149E-01,  24.93646, 0.29608E+03
   2100,2023-06-12T22:35:10.396+09:00, 0.148E-01,  26.27571, 0.31063E+03
   2200,2023-06-12T22:35:24.448+09:00, 0.141E-01,  27.67454, 0.32467E+03
   2300,2023-06-12T22:35:38.224+09:00, 0.121E-01,  29.03352, 0.33843E+03
   2400,2023-06-12T22:35:52.089+09:00, 0.146E-01,  30.48392, 0.35228E+03
   2500,2023-06-12T22:36:07.047+09:00, 0.115E-01,  31.82338, 0.36714E+03
   2600,2023-06-12T22:36:20.378+09:00, 0.156E-01,  33.33149, 0.38046E+03
   2700,2023-06-12T22:36:34.429+09:00, 0.162E-01,  34.72970, 0.39447E+03
   2800,2023-06-12T22:36:50.027+09:00, 0.120E-01,  36.12982, 0.41001E+03
   2900,2023-06-12T22:37:04.055+09:00, 0.157E-01,  37.55066, 0.42403E+03
   3000,2023-06-12T22:37:18.418+09:00, 0.156E-01,  39.03514, 0.43832E+03
   3100,2023-06-12T22:37:32.471+09:00, 0.132E-01,  40.51038, 0.45225E+03
   3200,2023-06-12T22:37:46.691+09:00, 0.155E-01,  42.05651, 0.46645E+03
   3300,2023-06-12T22:38:00.914+09:00, 0.164E-01,  43.50787, 0.48066E+03
   3400,2023-06-12T22:38:15.172+09:00, 0.137E-01,  45.03220, 0.49491E+03
   3500,2023-06-12T22:38:29.287+09:00, 0.145E-01,  46.43475, 0.50901E+03
   3600,2023-06-12T22:38:43.535+09:00, 0.152E-01,  47.89101, 0.52324E+03
   3700,2023-06-12T22:38:58.536+09:00, 0.139E-01,  49.36254, 0.53822E+03
   3800,2023-06-12T22:39:12.805+09:00, 0.136E-01,  50.77719, 0.55248E+03
   3900,2023-06-12T22:39:27.196+09:00, 0.145E-01,  52.21685, 0.56686E+03
   4000,2023-06-12T22:39:41.509+09:00, 0.132E-01,  53.60258, 0.58116E+03
   4100,2023-06-12T22:39:56.845+09:00, 0.143E-01,  54.98542, 0.59643E+03
   4200,2023-06-12T22:40:11.941+09:00, 0.147E-01,  56.37525, 0.61145E+03
   4300,2023-06-12T22:40:27.071+09:00, 0.154E-01,  57.78100, 0.62652E+03
   4400,2023-06-12T22:40:43.214+09:00, 0.139E-01,  59.21100, 0.64262E+03
   4454,2023-06-12T22:40:52.030+09:00, 0.599E-02,  60.00000, 0.65140E+03
