,,s,s,s
    500,2023-06-12T11:08:35.347+09:00, 0.975E-02,   6.11697, 0.77174E+02
    600,2023-06-12T11:08:50.033+09:00, 0.102E-01,   7.15678, 0.91816E+02
    700,2023-06-12T11:09:04.312+09:00, 0.976E-02,   8.17119, 0.10606E+03
    800,2023-06-12T11:09:18.507+09:00, 0.113E-01,   9.24406, 0.12021E+03
    900,2023-06-12T11:09:32.982+09:00, 0.125E-01,  10.45395, 0.13464E+03
   1000,2023-06-12T11:09:47.210+09:00, 0.126E-01,  11.64424, 0.14883E+03
   1100,2023-06-12T11:10:01.090+09:00, 0.124E-01,  12.84407, 0.16269E+03
   1200,2023-06-12T11:10:15.200+09:00, 0.139E-01,  14.08989, 0.17677E+03
   1300,2023-06-12T11:10:28.668+09:00, 0.129E-01,  15.38300, 0.19019E+03
   1400,2023-06-12T11:10:43.163+09:00, 0.151E-01,  16.78153, 0.20446E+03
   1500,2023-06-12T11:10:57.025+09:00, 0.140E-01,  18.11893, 0.21831E+03
   1600,2023-06-12T11:11:10.802+09:00, 0.132E-01,  19.41831, 0.23208E+03
   1700,2023-06-12T11:11:24.619+09:00, 0.144E-01,  20.74415, 0.24588E+03
   1800,2023-06-12T11:11:38.483+09:00, 0.139E-01,  22.21486, 0.25972E+03
   1900,2023-06-12T11:11:52.226+09:00, 0.134E-01,  23.58339, 0.27346E+03
   2000,2023-06-12T11:12:05.963+09:00, 0.149E-01,  24.93646, 0.28719E+03
   2100,2023-06-12T11:12:19.667+09:00, 0.148E-01,  26.27571, 0.30088E+03
   2200,2023-06-12T11:12:33.404+09:00, 0.141E-01,  27.67454, 0.31461E+03
   2300,2023-06-12T11:12:47.072+09:00, 0.121E-01,  29.03352, 0.32827E+03
   2400,2023-06-12T11:13:01.217+09:00, 0.146E-01,  30.48392, 0.34240E+03
   2500,2023-06-12T11:13:15.301+09:00, 0.115E-01,  31.82338, 0.35647E+03
   2600,2023-06-12T11:13:29.211+09:00, 0.156E-01,  33.33149, 0.37037E+03
   2700,2023-06-12T11:13:44.276+09:00, 0.162E-01,  34.72970, 0.38540E+03
   2800,2023-06-12T11:13:58.211+09:00, 0.120E-01,  36.12982, 0.39933E+03
   2900,2023-06-12T11:14:12.032+09:00, 0.157E-01,  37.55066, 0.41318E+03
   3000,2023-06-12T11:14:25.867+09:00, 0.156E-01,  39.03514, 0.42701E+03
   3100,2023-06-12T11:14:40.699+09:00, 0.132E-01,  40.51038, 0.44180E+03
   3200,2023-06-12T11:14:55.850+09:00, 0.155E-01,  42.05651, 0.45691E+03
   3300,2023-06-12T11:15:09.809+09:00, 0.164E-01,  43.50787, 0.47086E+03
   3400,2023-06-12T11:15:23.550+09:00, 0.137E-01,  45.03220, 0.48459E+03
   3500,2023-06-12T11:15:37.373+09:00, 0.145E-01,  46.43475, 0.49840E+03
   3600,2023-06-12T11:15:50.987+09:00, 0.152E-01,  47.89101, 0.51201E+03
   3700,2023-06-12T11:16:04.664+09:00, 0.139E-01,  49.36254, 0.52548E+03
   3800,2023-06-12T11:16:18.794+09:00, 0.136E-01,  50.77719, 0.53957E+03
   3900,2023-06-12T11:16:36.208+09:00, 0.145E-01,  52.21685, 0.55688E+03
   4000,2023-06-12T11:16:52.594+09:00, 0.132E-01,  53.60258, 0.57320E+03
   4100,2023-06-12T11:17:08.102+09:00, 0.143E-01,  54.98542, 0.58851E+03
   4200,2023-06-12T11:17:23.337+09:00, 0.147E-01,  56.37525, 0.60342E+03
   4300,2023-06-12T11:17:38.677+09:00, 0.154E-01,  57.78100, 0.61845E+03
   4400,2023-06-12T11:17:52.561+09:00, 0.139E-01,  59.21100, 0.63227E+03
   4454,2023-06-12T11:18:00.146+09:00, 0.599E-02,  60.00000, 0.63980E+03
